Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication_1,Medication_2,Medication_3,Medication_4,combined_text
Asthma,Shortness of breath,Wheezing,Chest tightness,Coughing,"Inhalers (bronchodilators, corticosteroids)",Allergy medications,Lifestyle changes (avoiding triggers),Unknown,"Shortness of breath Wheezing Chest tightness Coughing Inhalers (bronchodilators, corticosteroids) Allergy medications Lifestyle changes (avoiding triggers) Unknown"
Alzheimer's Disease,Memory loss,Confusion,Difficulty thinking,Mood changes,Cholinesterase inhibitors (Donepezil),NMDA receptor antagonists (Memantine),Cognitive therapy,Unknown,Memory loss Confusion Difficulty thinking Mood changes Cholinesterase inhibitors (Donepezil) NMDA receptor antagonists (Memantine) Cognitive therapy Unknown
Anemia,Fatigue,Pale skin,Weakness,Dizziness,Iron supplements,Vitamin B12 shots,Folic acid,Blood transfusion (severe cases),Fatigue Pale skin Weakness Dizziness Iron supplements Vitamin B12 shots Folic acid Blood transfusion (severe cases)
Arthritis,Joint pain,Stiffness,Swelling,Reduced range of motion,Anti-inflammatory drugs (NSAIDs),Corticosteroids,Physical therapy,Joint replacement surgery (severe cases),Joint pain Stiffness Swelling Reduced range of motion Anti-inflammatory drugs (NSAIDs) Corticosteroids Physical therapy Joint replacement surgery (severe cases)
Atherosclerosis,Chest pain,Shortness of breath,Fatigue,Leg pain,Statins,Blood pressure medications,"Lifestyle changes (diet, exercise)",Angioplasty or bypass surgery,"Chest pain Shortness of breath Fatigue Leg pain Statins Blood pressure medications Lifestyle changes (diet, exercise) Angioplasty or bypass surgery"
Appendicitis,Abdominal pain (lower right side),Nausea,Vomiting,Fever,Surgery (appendectomy),Antibiotics,Unknown,Unknown,Abdominal pain (lower right side) Nausea Vomiting Fever Surgery (appendectomy) Antibiotics Unknown Unknown
Arrhythmia,Palpitations,Dizziness,Shortness of breath,Fainting,"Antiarrhythmic drugs (beta-blockers, calcium channel blockers)",Pacemaker,Defibrillation,Unknown,"Palpitations Dizziness Shortness of breath Fainting Antiarrhythmic drugs (beta-blockers, calcium channel blockers) Pacemaker Defibrillation Unknown"
Anorexia Nervosa,Severe weight loss,Fatigue,Insomnia,Dizziness,Psychotherapy,Nutritional counseling,Antidepressants,Hospitalization (severe cases),Severe weight loss Fatigue Insomnia Dizziness Psychotherapy Nutritional counseling Antidepressants Hospitalization (severe cases)
Anxiety Disorders,Excessive worry,Restlessness,Fatigue,Irritability,Cognitive-behavioral therapy (CBT),Antidepressants (SSRIs),Anti-anxiety medications,Relaxation techniques,Excessive worry Restlessness Fatigue Irritability Cognitive-behavioral therapy (CBT) Antidepressants (SSRIs) Anti-anxiety medications Relaxation techniques
Atopic Dermatitis (Eczema),Itchy skin,Inflamed skin,Red patches,Dry skin,Topical corticosteroids,Antihistamines,Moisturizers,Light therapy,Itchy skin Inflamed skin Red patches Dry skin Topical corticosteroids Antihistamines Moisturizers Light therapy
Alopecia,Thinning hair,Bald spots,Hair loss,Unknown,Topical corticosteroids,Hair growth treatments (Minoxidil),Immune suppressants,Unknown,Thinning hair Bald spots Hair loss Unknown Topical corticosteroids Hair growth treatments (Minoxidil) Immune suppressants Unknown
Atrial Fibrillation,Irregular heartbeat,Fatigue,Dizziness,Chest pain,Antiarrhythmic medications,Blood thinners (Warfarin),Cardioversion,Catheter ablation,Irregular heartbeat Fatigue Dizziness Chest pain Antiarrhythmic medications Blood thinners (Warfarin) Cardioversion Catheter ablation
Achalasia,Difficulty swallowing,Chest pain,Regurgitation,Unknown,Esophageal dilation,Muscle relaxants,Botox injections,Surgery (Heller myotomy),Difficulty swallowing Chest pain Regurgitation Unknown Esophageal dilation Muscle relaxants Botox injections Surgery (Heller myotomy)
Acne,Inflamed pimples,Blackheads,Whiteheads,Cysts,Topical retinoids,Antibiotics,Oral contraceptives,Isotretinoin,Inflamed pimples Blackheads Whiteheads Cysts Topical retinoids Antibiotics Oral contraceptives Isotretinoin
Acromegaly,Enlarged hands and feet,Facial changes,Joint pain,Unknown,Surgery (pituitary tumor removal),Radiation therapy,"Medications (Octreotide, Pegvisomant)",Unknown,"Enlarged hands and feet Facial changes Joint pain Unknown Surgery (pituitary tumor removal) Radiation therapy Medications (Octreotide, Pegvisomant) Unknown"
Actinic Keratosis,Rough patches on skin,Scaly patches on skin,Unknown,Topical creams (Fluorouracil),Cryotherapy,Photodynamic therapy,Laser therapy,Unknown,Rough patches on skin Scaly patches on skin Unknown Topical creams (Fluorouracil) Cryotherapy Photodynamic therapy Laser therapy Unknown
Adenomyosis,Painful periods,Heavy bleeding,Pelvic pain,Unknown,Anti-inflammatory drugs,Hormone therapy,Hysterectomy (severe cases),Unknown,Painful periods Heavy bleeding Pelvic pain Unknown Anti-inflammatory drugs Hormone therapy Hysterectomy (severe cases) Unknown
Adrenal Insufficiency,Chronic fatigue,Muscle weakness,Weight loss,Low blood pressure,Hormone replacement (corticosteroids),Salt intake adjustments,Unknown,Unknown,Chronic fatigue Muscle weakness Weight loss Low blood pressure Hormone replacement (corticosteroids) Salt intake adjustments Unknown Unknown
Amyloidosis,Swelling,Fatigue,Shortness of breath,Numbness,Chemotherapy,Stem cell transplant,"Supportive care (fluid management, diet)",Unknown,"Swelling Fatigue Shortness of breath Numbness Chemotherapy Stem cell transplant Supportive care (fluid management, diet) Unknown"
Amnesia,Memory loss,Confusion,Disorientation,Unknown,Cognitive rehabilitation therapy,Medications (depending on cause),Psychotherapy,Unknown,Memory loss Confusion Disorientation Unknown Cognitive rehabilitation therapy Medications (depending on cause) Psychotherapy Unknown
Anal Fissure,Pain during bowel movements,Blood on stool,Itching,Unknown,Topical anesthetics,Stool softeners,Sitz baths,Surgery (severe cases),Pain during bowel movements Blood on stool Itching Unknown Topical anesthetics Stool softeners Sitz baths Surgery (severe cases)
Aortic Aneurysm,Back pain,Chest pain,Pulsating sensation in abdomen,Unknown,Monitoring,Surgery (larger aneurysms),Blood pressure control (beta-blockers),Unknown,Back pain Chest pain Pulsating sensation in abdomen Unknown Monitoring Surgery (larger aneurysms) Blood pressure control (beta-blockers) Unknown
